Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Activity
04-09-2024,19:23:04,$,$,400,130,56,79,84,34.6,18.3,55.77,No Cooking
04-09-2024,19:23:10,$,$,400,121,56,78,83,34.6,18.3,56.94,No Cooking
04-09-2024,19:23:16,$,$,400,117,56,78,83,34.6,18.3,51.22,No Cooking
04-09-2024,19:23:21,$,$,400,114,57,79,83,34.7,18.3,56.01,No Cooking
04-09-2024,19:23:27,$,$,400,114,57,78,83,34.7,18.3,53.54,No Cooking
04-09-2024,19:23:32,$,$,400,119,57,78,83,34.6,18.3,51.7,No Cooking
04-09-2024,19:23:38,$,$,400,121,57,78,84,34.7,18.3,54.73,No Cooking
04-09-2024,19:23:43,$,$,400,116,57,78,84,34.6,18.3,51.93,No Cooking
04-09-2024,19:23:49,$,$,400,114,57,78,85,34.6,18.3,56.69,No Cooking
04-09-2024,19:23:55,$,$,400,121,57,78,85,34.7,18.3,52.04,No Cooking
04-09-2024,19:24:00,$,$,400,117,58,78,85,34.6,18.3,55.97,No Cooking
04-09-2024,19:24:06,$,$,400,109,58,79,85,34.7,18.3,52.03,No Cooking
04-09-2024,19:24:11,$,$,400,118,58,79,85,34.7,18.3,52.2,No Cooking
04-09-2024,19:24:17,$,$,400,107,58,80,86,34.7,18.3,53.65,No Cooking
04-09-2024,19:24:23,$,$,400,113,58,80,86,34.7,18.3,52.81,No Cooking
04-09-2024,19:24:28,$,$,400,103,58,80,85,34.7,18.3,54.98,No Cooking
04-09-2024,19:24:34,$,$,400,107,58,80,85,34.7,18.3,53.87,No Cooking
04-09-2024,19:24:39,$,$,400,110,59,81,86,34.7,18.3,55.14,No Cooking
04-09-2024,19:24:45,$,$,400,105,58,80,84,34.6,18.3,56.39,No Cooking
04-09-2024,19:24:50,$,$,400,107,58,80,84,34.7,18.3,51.36,No Cooking
04-09-2024,19:24:56,$,$,400,109,58,81,84,34.7,18.3,53.1,No Cooking
04-09-2024,19:25:02,$,$,400,105,59,81,85,34.7,18.3,56.66,No Cooking
04-09-2024,19:25:07,$,$,400,104,59,81,85,34.7,18.3,51.76,No Cooking
04-09-2024,19:25:13,$,$,400,110,59,82,85,34.7,18.3,55.75,No Cooking
04-09-2024,19:25:18,$,$,400,110,59,82,84,34.7,18.3,51.36,No Cooking
04-09-2024,19:25:24,$,$,400,102,59,82,84,34.7,18.3,50.8,No Cooking
04-09-2024,19:25:30,$,$,400,104,59,82,84,34.7,18.3,50.86,No Cooking
04-09-2024,19:25:35,$,$,400,108,59,82,84,34.6,18.3,51.89,No Cooking
04-09-2024,19:25:41,$,$,400,95,59,82,84,34.7,18.3,55.44,No Cooking
04-09-2024,19:25:46,$,$,400,102,59,82,84,34.7,18.3,50.91,No Cooking
04-09-2024,19:25:52,$,$,400,97,58,81,85,34.7,18.3,53.78,No Cooking
04-09-2024,19:25:57,$,$,400,96,58,81,85,34.7,18.3,52.88,No Cooking
04-09-2024,19:26:03,$,$,400,91,58,81,85,34.7,18.3,56.69,No Cooking
04-09-2024,19:26:09,$,$,400,93,58,81,85,34.7,18.3,53.83,No Cooking
04-09-2024,19:26:14,$,$,400,87,59,81,86,34.7,18.3,52.94,No Cooking
04-09-2024,19:26:20,$,$,400,89,59,81,86,34.7,18.3,52.51,No Cooking
04-09-2024,19:26:25,$,$,400,87,60,81,86,34.7,18.3,50.24,No Cooking
04-09-2024,19:26:31,$,$,400,84,60,82,86,34.7,18.3,50.13,No Cooking
04-09-2024,19:26:36,$,$,400,81,60,82,86,34.7,18.3,54.78,No Cooking
04-09-2024,19:26:42,$,$,400,78,60,82,86,34.7,18.3,53.63,No Cooking
04-09-2024,19:26:48,$,$,400,81,60,83,86,34.7,18.3,50.62,No Cooking
04-09-2024,19:26:53,$,$,400,88,60,83,87,34.7,18.3,54.1,No Cooking
04-09-2024,19:26:59,$,$,400,79,59,83,87,34.7,18.3,54.51,No Cooking
04-09-2024,19:27:04,$,$,400,73,59,83,87,34.7,18.3,55.49,No Cooking
04-09-2024,19:27:10,$,$,400,76,59,83,88,34.7,18.3,52.54,No Cooking
04-09-2024,19:27:16,$,$,400,76,59,83,87,34.7,18.3,52.14,No Cooking
04-09-2024,19:27:21,$,$,400,76,59,83,88,34.7,18.3,53.31,No Cooking
04-09-2024,19:27:27,$,$,400,74,59,83,88,34.7,18.3,56.2,No Cooking
04-09-2024,19:27:32,$,$,400,83,59,83,89,34.7,18.3,51.08,No Cooking
04-09-2024,19:27:38,$,$,400,75,60,83,89,34.7,18.3,52.69,No Cooking
04-09-2024,19:27:43,$,$,400,77,60,83,90,34.7,18.3,55.88,No Cooking
04-09-2024,19:27:49,$,$,400,75,60,82,91,34.7,18.3,50.93,No Cooking
04-09-2024,19:27:55,$,$,400,77,60,82,90,34.7,18.3,51.88,No Cooking
04-09-2024,19:28:00,$,$,400,69,60,83,91,34.7,18.3,51.12,No Cooking
04-09-2024,19:28:06,$,$,400,65,59,82,90,34.7,18.3,53.19,No Cooking
04-09-2024,19:28:11,$,$,400,68,59,81,88,34.7,18.3,54.64,No Cooking
04-09-2024,19:28:17,$,$,400,64,58,81,87,34.7,18.3,55.7,No Cooking
04-09-2024,19:28:22,$,$,400,66,58,80,86,34.7,18.3,55.8,No Cooking
04-09-2024,19:28:28,$,$,400,64,58,80,84,34.7,18.3,55.74,No Cooking
04-09-2024,19:28:34,$,$,400,61,58,79,83,34.7,18.3,54.02,No Cooking
04-09-2024,19:28:39,$,$,400,63,58,79,83,34.7,18.3,56.28,No Cooking
04-09-2024,19:28:45,$,$,400,58,58,78,82,34.6,18.3,55.02,No Cooking
04-09-2024,19:28:50,$,$,400,61,57,77,82,34.7,18.3,55.98,No Cooking
04-09-2024,19:28:56,$,$,400,52,57,77,81,34.7,18.3,55.33,No Cooking
04-09-2024,19:29:02,$,$,400,53,57,76,81,34.6,18.3,51.99,No Cooking
04-09-2024,19:29:07,$,$,400,54,57,76,81,34.6,18.3,51.9,No Cooking
04-09-2024,19:29:13,$,$,400,55,56,76,80,34.6,18.3,55.11,No Cooking
04-09-2024,19:29:18,$,$,400,52,56,76,80,34.7,18.3,55.99,No Cooking
04-09-2024,19:29:24,$,$,400,52,56,76,80,34.7,18.3,51.83,No Cooking
04-09-2024,19:29:29,$,$,400,54,56,77,81,34.7,18.3,56.79,No Cooking
04-09-2024,19:29:35,$,$,400,49,55,76,79,34.7,18.3,53.24,No Cooking
04-09-2024,19:29:41,$,$,400,49,55,77,80,34.7,18.3,55.83,No Cooking
04-09-2024,19:29:46,$,$,400,46,54,76,79,34.7,18.3,51.16,No Cooking
04-09-2024,19:29:52,$,$,400,52,54,76,79,34.7,18.3,51.98,No Cooking
04-09-2024,19:29:57,$,$,400,43,54,76,80,34.7,18.3,51.46,No Cooking
04-09-2024,19:30:03,$,$,400,40,54,76,79,34.6,18.3,51.09,No Cooking
04-09-2024,19:30:08,$,$,400,36,53,75,79,34.6,18.3,56.35,No Cooking
04-09-2024,19:30:14,$,$,400,36,52,74,78,34.6,18.2,54.87,No Cooking
04-09-2024,19:30:20,$,$,400,42,53,74,79,34.6,18.3,56.72,No Cooking
04-09-2024,19:30:25,$,$,400,41,52,74,79,34.6,18.2,51.83,No Cooking
04-09-2024,19:30:31,$,$,400,37,53,75,80,34.6,18.3,53.93,No Cooking
04-09-2024,19:30:36,$,$,400,41,53,75,81,34.6,18.3,53.71,No Cooking
04-09-2024,19:30:42,$,$,400,30,53,74,80,34.6,18.2,53.46,No Cooking
04-09-2024,19:30:48,$,$,400,31,54,75,82,34.6,18.3,55.49,No Cooking
04-09-2024,19:30:53,$,$,400,33,54,75,82,34.6,18.2,53.73,No Cooking
04-09-2024,19:30:59,$,$,400,31,54,76,83,34.6,18.2,55.87,No Cooking
04-09-2024,19:31:04,$,$,400,30,54,76,84,34.6,18.2,56.2,No Cooking
04-09-2024,19:31:10,$,$,400,22,54,76,84,34.6,18.2,50.5,No Cooking
04-09-2024,19:31:15,$,$,400,27,55,77,84,34.6,18.2,54.37,No Cooking
04-09-2024,19:31:21,$,$,400,34,54,76,83,34.6,18.2,53.58,No Cooking
04-09-2024,19:31:27,$,$,400,32,55,78,84,34.6,18.2,51.67,No Cooking
04-09-2024,19:31:32,$,$,400,26,54,76,83,34.6,18.2,51.03,No Cooking
04-09-2024,19:31:38,$,$,400,20,55,76,83,34.6,18.3,55.01,No Cooking
04-09-2024,19:31:43,$,$,400,18,56,76,83,34.6,18.2,50.99,No Cooking
04-09-2024,19:31:49,$,$,400,17,56,76,83,34.6,18.2,55.94,No Cooking
04-09-2024,19:31:54,$,$,400,24,56,76,83,34.6,18.3,52.85,No Cooking
04-09-2024,19:32:00,$,$,400,22,55,75,83,34.6,18.2,50.38,No Cooking
04-09-2024,19:32:06,$,$,400,16,56,76,84,34.6,18.2,50.88,No Cooking
04-09-2024,19:32:11,$,$,400,16,56,77,84,34.6,18.2,56.84,No Cooking
04-09-2024,19:32:17,$,$,400,13,55,76,83,34.6,18.2,52.09,No Cooking
04-09-2024,19:32:22,$,$,400,10,56,77,84,34.6,18.2,56.51,No Cooking
04-09-2024,19:32:28,$,$,400,14,56,77,84,34.6,18.2,56.86,No Cooking
04-09-2024,19:32:34,$,$,400,14,56,76,83,34.6,18.2,51.95,No Cooking
04-09-2024,19:32:39,$,$,400,9,56,76,83,34.6,18.2,53.35,No Cooking
04-09-2024,19:32:45,$,$,400,9,56,76,83,34.6,18.2,50.61,No Cooking
04-09-2024,19:32:50,$,$,400,4,56,76,83,34.6,18.2,52.3,No Cooking
04-09-2024,19:32:56,$,$,400,10,56,78,84,34.6,18.2,56.48,No Cooking
04-09-2024,19:33:01,$,$,400,7,56,78,84,34.6,18.2,56.12,No Cooking
04-09-2024,19:33:07,$,$,400,1,55,77,84,34.6,18.2,53.62,No Cooking
04-09-2024,19:33:13,$,$,400,7,55,78,84,34.6,18.2,54.24,No Cooking
04-09-2024,19:33:18,$,$,400,7,56,79,84,34.6,18.2,52.61,No Cooking
04-09-2024,19:33:24,$,$,400,3,56,78,84,34.6,18.2,52.47,No Cooking
04-09-2024,19:33:29,$,$,400,6,56,78,84,34.6,18.2,52.26,No Cooking
04-09-2024,19:33:35,$,$,400,0,56,78,83,34.6,18.2,50.94,No Cooking
04-09-2024,19:33:40,$,$,400,1,55,76,82,34.5,18.2,53.51,No Cooking
04-09-2024,19:33:46,$,$,400,0,56,77,82,34.6,18.2,53.19,No Cooking
04-09-2024,19:33:52,$,$,400,0,56,77,82,34.6,18.2,51.14,No Cooking
04-09-2024,19:33:57,$,$,400,0,56,77,82,34.6,18.2,50.69,No Cooking
04-09-2024,19:34:03,$,$,400,0,55,76,81,34.6,18.2,54.92,No Cooking
04-09-2024,19:34:08,$,$,400,0,56,77,82,34.6,18.2,50.78,No Cooking
04-09-2024,19:34:14,$,$,400,0,55,76,81,34.6,18.2,51.72,No Cooking
04-09-2024,19:34:20,$,$,400,0,56,78,83,34.6,18.2,55.74,No Cooking
04-09-2024,19:34:25,$,$,400,0,56,77,83,34.6,18.2,50.52,No Cooking
04-09-2024,19:34:31,$,$,400,0,56,78,83,34.6,18.2,54.28,No Cooking
04-09-2024,19:34:36,$,$,400,0,57,79,84,34.6,18.2,53.02,No Cooking
04-09-2024,19:34:42,$,$,400,0,57,78,84,34.6,18.2,56.3,No Cooking
04-09-2024,19:34:47,$,$,400,0,57,78,84,34.5,18.2,51.97,No Cooking
04-09-2024,19:34:53,$,$,400,0,56,77,83,34.6,18.2,55.35,No Cooking
04-09-2024,19:34:59,$,$,400,0,56,78,84,34.6,18.2,52.12,No Cooking
04-09-2024,19:35:04,$,$,400,0,55,77,83,34.6,18.2,52.64,No Cooking
04-09-2024,19:35:10,$,$,400,0,56,78,84,34.6,18.3,51.82,No Cooking
04-09-2024,19:35:15,$,$,400,0,56,78,84,34.6,18.3,56.06,No Cooking
04-09-2024,19:35:21,$,$,400,0,55,77,82,34.6,18.3,52.2,No Cooking
04-09-2024,19:35:26,$,$,400,0,57,79,83,34.7,18.3,50.64,No Cooking
04-09-2024,19:35:32,$,$,400,0,57,78,83,34.6,18.3,52.13,No Cooking
04-09-2024,19:35:38,$,$,400,0,56,77,81,34.6,18.2,53.47,No Cooking
04-09-2024,19:35:43,$,$,400,0,57,77,82,34.6,18.3,51.06,No Cooking
04-09-2024,19:35:49,$,$,400,0,57,76,81,34.7,18.3,56.09,No Cooking
04-09-2024,19:35:54,$,$,400,0,56,75,81,34.6,18.3,55.77,No Cooking
04-09-2024,19:36:00,$,$,400,0,56,73,81,34.7,18.3,50.39,No Cooking
04-09-2024,19:36:05,$,$,400,0,54,72,80,34.7,18.3,51.01,No Cooking
04-09-2024,19:36:11,$,$,400,0,54,72,80,34.7,18.3,54.54,No Cooking
04-09-2024,19:36:17,$,$,400,0,54,72,80,34.7,18.3,53.88,No Cooking
04-09-2024,19:36:22,$,$,400,0,55,74,81,34.6,18.3,55.22,No Cooking
04-09-2024,19:36:28,$,$,400,0,55,75,81,34.7,18.3,56.22,No Cooking
04-09-2024,19:36:33,$,$,400,0,54,75,80,34.6,18.3,50.63,No Cooking
04-09-2024,19:36:39,$,$,400,0,54,75,80,34.7,18.3,56.09,No Cooking
04-09-2024,19:36:45,$,$,400,0,54,76,79,34.7,18.3,55.17,No Cooking
04-09-2024,19:36:50,$,$,400,0,54,76,79,34.6,18.3,56.34,No Cooking
04-09-2024,19:36:56,$,$,400,0,55,77,79,34.7,18.3,55.81,No Cooking
04-09-2024,19:37:01,$,$,400,0,55,77,80,34.6,18.3,55.01,No Cooking
04-09-2024,19:37:07,$,$,400,0,56,79,81,34.6,18.3,54.5,No Cooking
04-09-2024,19:37:12,$,$,400,0,55,78,80,34.6,18.3,52.28,No Cooking
04-09-2024,19:37:18,$,$,400,0,55,78,80,34.6,18.3,50.79,No Cooking
04-09-2024,19:37:24,$,$,400,0,56,79,81,34.6,18.3,52.91,No Cooking
04-09-2024,19:37:29,$,$,400,0,56,79,81,34.7,18.3,50.24,No Cooking
04-09-2024,19:37:35,$,$,400,0,55,78,80,34.6,18.2,50.05,No Cooking
04-09-2024,19:37:40,$,$,400,0,55,78,80,34.6,18.3,55.58,No Cooking
04-09-2024,19:37:46,$,$,400,0,55,78,80,34.6,18.3,50.71,No Cooking
04-09-2024,19:37:51,$,$,400,0,56,78,81,34.6,18.3,50.33,No Cooking
04-09-2024,19:37:57,$,$,400,0,56,78,81,34.7,18.3,50.32,No Cooking
